,Artist,Total Views,100M,Avg
495,Ceca,"1,861.6",0.0,0.35
496,MC Kevin,"1,853.6",4.0,0.62
497,OMI,"1,853.5",3.0,0.28
498,Florida Georgia Line,"1,852.1",5.0,0.21
499,Canserbero,"1,851.4",4.0,1.0
500,Hozier,"1,840.0",2.0,0.55
501,Lil Tjay,"1,835.7",3.0,0.72
502,Ricardo Montaner,"1,829.6",3.0,0.46
503,Radiohead,"1,828.1",2.0,0.79
504,Cristiano Araújo,"1,826.9",6.0,0.21
505,Galantis,"1,825.8",4.0,0.17
506,Niska,"1,825.0",4.0,0.43
507,Paula Fernandes,"1,822.8",3.0,0.44
508,Jason Aldean,"1,819.9",3.0,0.47
509,Palak Muchhal,"1,811.4",3.0,0.47
510,Chris Jeday,"1,803.9",3.0,0.69
511,Roxette,"1,801.6",3.0,0.52
512,Black M,"1,798.1",6.0,0.15
513,(G)I-DLE,"1,797.7",7.0,1.66
514,IU,"1,792.6",6.0,0.39
515,Arash,"1,790.6",4.0,0.57
516,Via Vallen,"1,787.5",3.0,0.08
517,Hailee Steinfeld,"1,782.2",6.0,0.26
518,Three Days Grace,"1,780.4",4.0,0.42
519,Soulja Boy Tell'em,"1,780.1",2.0,0.2
520,PNL,"1,775.6",6.0,0.34
521,Alok,"1,773.2",2.0,0.64
522,Maria Becerra,"1,766.2",6.0,2.35
523,The Game,"1,764.7",5.0,0.38
524,Abraham Mateo,"1,760.9",3.0,0.41
525,Bryson Tiller,"1,760.7",4.0,0.46
526,Blake Shelton,"1,760.6",3.0,0.33
527,AronChupa,"1,758.0",3.0,0.23
528,Eros Ramazzotti,"1,757.6",4.0,0.63
529,James Blunt,"1,757.1",2.0,0.43
530,Naughty Boy,"1,751.2",2.0,0.21
531,Marcos & Belutti,"1,745.3",4.0,0.26
532,SHINee,"1,735.6",2.0,0.27
533,R.E.M.,"1,734.9",2.0,0.57
534,2 Chainz,"1,728.7",5.0,0.28
535,Vremya i Steklo,"1,721.8",5.0,0.14
536,Lata Mangeshkar,"1,720.7",6.0,0.45
537,İrem Derici,"1,717.3",3.0,0.32
538,Scorpions,"1,715.3",2.0,0.44
539,Raymix,"1,712.5",3.0,0.38
540,ONE OK ROCK,"1,711.7",3.0,0.38
541,Zouhair Bahaoui,"1,705.7",3.0,0.49
542,Raí Saia Rodada,"1,702.9",4.0,0.48
543,Rick Astley,"1,697.5",2.0,0.5
544,My Chemical Romance,"1,689.8",7.0,0.51
545,Rick Ross,"1,687.2",3.0,0.34
546,B.o.B,"1,687.1",2.0,0.3
547,Korn,"1,686.0",3.0,0.49
548,Lil Skies,"1,683.5",4.0,0.18
549,El Komander,"1,679.2",3.0,0.26
550,Naps,"1,671.7",5.0,0.47
551,Nella Kharisma,"1,671.3",5.0,0.14
552,Shaggy,"1,663.3",6.0,0.42
553,Noriel,"1,661.3",3.0,0.4
554,Bruce Springsteen,"1,653.9",3.0,0.63
555,"Earth, Wind & Fire","1,649.2",3.0,0.56
556,Foster The People,"1,645.9",3.0,0.37
557,3 Doors Down,"1,641.7",3.0,0.4
558,Boney M.,"1,637.7",3.0,1.04
559,Getsunova,"1,633.9",5.0,0.18
560,Mary J. Blige,"1,630.1",4.0,0.66
561,Joyner Lucas,"1,620.7",1.0,0.36
562,2CELLOS,"1,619.4",1.0,0.33
563,Destiny's Child,"1,617.9",7.0,0.43
564,Last Child,"1,615.9",4.0,0.71
565,Lauv,"1,610.5",4.0,0.37
